file_a,file_b,hamming,same_split,same_source_key
train/benign/benign (100)-rotated1-sharpened.png,train/benign/benign (100)-rotated2-sharpened.png,0,True,True
train/benign/benign (100)-sharpened.jpg,train/benign/benign (100)-sharpened.png,0,True,True
train/benign/benign (101)-rotated1.jpg,train/benign/benign (101)-rotated2.png,0,True,True
train/benign/benign (101)-rotated1.jpg,train/benign/benign (101).png,0,True,True
train/benign/benign (101)-rotated2-rotated1.png,train/benign/benign (101)-rotated2-sharpened.png,0,True,True
train/benign/benign (101)-rotated2.png,train/benign/benign (101).png,0,True,True
train/benign/benign (102)-rotated1-rotated1.png,train/benign/benign (102)-rotated1-rotated2.png,0,True,True
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-rotated1.jpg,0,True,True
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-rotated2-sharpened.png,0,True,True
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-sharpened-rotated1.png,0,True,True
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-sharpened.jpg,0,True,True
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103)-sharpened.png,0,True,True
train/benign/benign (103)-rotated1-sharpened.png,train/benign/benign (103).png,0,True,True
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-rotated2-sharpened.png,0,True,True
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-sharpened-rotated1.png,0,True,True
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-sharpened.jpg,0,True,True
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103)-sharpened.png,0,True,True
train/benign/benign (103)-rotated1.jpg,train/benign/benign (103).png,0,True,True
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103)-sharpened-rotated1.png,0,True,True
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103)-sharpened.jpg,0,True,True
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103)-sharpened.png,0,True,True
train/benign/benign (103)-rotated2-sharpened.png,train/benign/benign (103).png,0,True,True
train/benign/benign (103)-sharpened-rotated1.png,train/benign/benign (103)-sharpened.jpg,0,True,True
train/benign/benign (103)-sharpened-rotated1.png,train/benign/benign (103)-sharpened.png,0,True,True
train/benign/benign (103)-sharpened-rotated1.png,train/benign/benign (103).png,0,True,True
train/benign/benign (103)-sharpened.jpg,train/benign/benign (103)-sharpened.png,0,True,True
train/benign/benign (103)-sharpened.jpg,train/benign/benign (103).png,0,True,True
train/benign/benign (103)-sharpened.png,train/benign/benign (103).png,0,True,True
train/benign/benign (104)-rotated1-sharpened.png,train/benign/benign (104)-rotated2.png,0,True,True
train/benign/benign (104)-sharpened.jpg,train/benign/benign (104)-sharpened.png,0,True,True
train/benign/benign (105)-rotated1-rotated1.png,train/benign/benign (105)-rotated2-sharpened.png,0,True,True
train/benign/benign (105)-rotated1-rotated1.png,train/benign/benign (156)-rotated1-rotated1.png,0,True,False
train/benign/benign (105)-rotated1-sharpened.png,train/benign/benign (156)-rotated1-sharpened.png,0,True,False
train/benign/benign (105)-rotated1-sharpened.png,train/benign/benign (156)-rotated2-sharpened.png,0,True,False
train/benign/benign (105)-rotated2-sharpened.png,train/benign/benign (156)-rotated1-rotated1.png,0,True,False
train/benign/benign (105)-rotated2.jpg,train/benign/benign (105).png,0,True,True
train/benign/benign (105)-sharpened.jpg,train/benign/benign (105)-sharpened.png,0,True,True
train/benign/benign (105)-sharpened.jpg,train/benign/benign (156)-rotated1.jpg,0,True,False
train/benign/benign (105)-sharpened.jpg,train/benign/benign (156)-sharpened.jpg,0,True,False
train/benign/benign (105)-sharpened.jpg,train/benign/benign (156)-sharpened.png,0,True,False
train/benign/benign (105)-sharpened.jpg,train/benign/benign (156).png,0,True,False
train/benign/benign (105)-sharpened.png,train/benign/benign (156)-rotated1.jpg,0,True,False
train/benign/benign (105)-sharpened.png,train/benign/benign (156)-sharpened.jpg,0,True,False
train/benign/benign (105)-sharpened.png,train/benign/benign (156)-sharpened.png,0,True,False
train/benign/benign (105)-sharpened.png,train/benign/benign (156).png,0,True,False
train/benign/benign (106)-rotated1.jpg,train/benign/benign (106)-sharpened-rotated1.png,0,True,True
train/benign/benign (106)-rotated2-rotated2.png,train/benign/benign (106)-rotated2.png,0,True,True
train/benign/benign (106)-sharpened.jpg,train/benign/benign (106)-sharpened.png,0,True,True
train/benign/benign (107)-rotated1-rotated1.png,train/benign/benign (107)-rotated1-rotated2.png,0,True,True
train/benign/benign (107)-rotated2-sharpened.png,train/benign/benign (107)-sharpened.png,0,True,True
train/benign/benign (108)-rotated1-rotated2.png,train/benign/benign (108)-rotated1-sharpened.png,0,True,True
train/benign/benign (108)-rotated1.jpg,train/benign/benign (108)-rotated2-rotated1.png,0,True,True
train/benign/benign (108)-rotated1.jpg,train/benign/benign (108)-rotated2-sharpened.png,0,True,True
train/benign/benign (108)-rotated1.jpg,train/benign/benign (108)-sharpened-sharpened.png,0,True,True
train/benign/benign (108)-rotated1.jpg,train/benign/benign (108)-sharpened.jpg,0,True,True
train/benign/benign (108)-rotated1.jpg,train/benign/benign (108)-sharpened.png,0,True,True
train/benign/benign (108)-rotated1.jpg,train/benign/benign (108).png,0,True,True
train/benign/benign (108)-rotated1.png,train/benign/benign (108)-sharpened-rotated1.png,0,True,True
train/benign/benign (108)-rotated2-rotated1.png,train/benign/benign (108)-rotated2-sharpened.png,0,True,True
train/benign/benign (108)-rotated2-rotated1.png,train/benign/benign (108)-sharpened-sharpened.png,0,True,True
train/benign/benign (108)-rotated2-rotated1.png,train/benign/benign (108)-sharpened.jpg,0,True,True
train/benign/benign (108)-rotated2-rotated1.png,train/benign/benign (108)-sharpened.png,0,True,True
train/benign/benign (108)-rotated2-rotated1.png,train/benign/benign (108).png,0,True,True
train/benign/benign (108)-rotated2-sharpened.png,train/benign/benign (108)-sharpened-sharpened.png,0,True,True
train/benign/benign (108)-rotated2-sharpened.png,train/benign/benign (108)-sharpened.jpg,0,True,True
train/benign/benign (108)-rotated2-sharpened.png,train/benign/benign (108)-sharpened.png,0,True,True
train/benign/benign (108)-rotated2-sharpened.png,train/benign/benign (108).png,0,True,True
train/benign/benign (108)-sharpened-sharpened.png,train/benign/benign (108)-sharpened.jpg,0,True,True
train/benign/benign (108)-sharpened-sharpened.png,train/benign/benign (108)-sharpened.png,0,True,True
train/benign/benign (108)-sharpened-sharpened.png,train/benign/benign (108).png,0,True,True
train/benign/benign (108)-sharpened.jpg,train/benign/benign (108)-sharpened.png,0,True,True
train/benign/benign (108)-sharpened.jpg,train/benign/benign (108).png,0,True,True
train/benign/benign (108)-sharpened.png,train/benign/benign (108).png,0,True,True
train/benign/benign (109)-rotated2-sharpened.png,train/benign/benign (109)-rotated2.jpg,0,True,True
train/benign/benign (109)-rotated2-sharpened.png,train/benign/benign (109)-rotated2.png,0,True,True
train/benign/benign (109)-rotated2-sharpened.png,train/benign/benign (109)-sharpened.jpg,0,True,True
train/benign/benign (109)-rotated2-sharpened.png,train/benign/benign (109)-sharpened.png,0,True,True
train/benign/benign (109)-rotated2-sharpened.png,train/benign/benign (109).png,0,True,True
train/benign/benign (109)-rotated2.jpg,train/benign/benign (109)-rotated2.png,0,True,True
train/benign/benign (109)-rotated2.jpg,train/benign/benign (109)-sharpened.jpg,0,True,True
train/benign/benign (109)-rotated2.jpg,train/benign/benign (109)-sharpened.png,0,True,True
train/benign/benign (109)-rotated2.jpg,train/benign/benign (109).png,0,True,True
train/benign/benign (109)-rotated2.png,train/benign/benign (109)-sharpened.jpg,0,True,True
train/benign/benign (109)-rotated2.png,train/benign/benign (109)-sharpened.png,0,True,True
