split,source_group_id,bag_id,bag_label,image_path,md5,source_key,source_key_status,allocation_unit_id,unit_bag_count,unit_instance_count,original_supplied_split
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated1-rotated1.png,bbfa40333f1f78c84e08d181dbd74754,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated1-rotated2.png,ce780e61a03133bbef69c14c474ed799,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated1-sharpened.png,d409d1e7ee4142c67cb53a1177a37b7e,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated1.jpg,5645dfd5784440f97c8d8c6188c773d1,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated1.png,56a1b65b0cfaffce3fd62d162aa364f2,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated2-rotated1.png,2f38a521efc225d0010c1fee1c4c5284,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated2-rotated2.png,74609fd599e5070cb27ddcf5482b92a9,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated2-sharpened.png,d409d1e7ee4142c67cb53a1177a37b7e,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated2.jpg,b0bde6c8586c9e11363fff798e5c212b,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-rotated2.png,c8ebe1e94accde4ce1cf9ce161711fb2,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-sharpened-rotated1.png,02d30c2303550cba8400fd48aacf8935,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-sharpened-rotated2.png,45321ce1843208e9906976e60f038ff9,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-sharpened-sharpened.png,ed0afc06d970ef07b8e74941f66c6c3e,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-sharpened.jpg,1bb163b154c65ed56d1b9afb1a8186e0,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100)-sharpened.png,e6d8b4b922d2a3a645332c86b68891b8,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9f0d473b046d,bag-9f0d473b046d,benign,train/benign/benign (100).png,a54cf672cf602156d3696c0c51d310d1,benign (100),inferred_from_filename_not_verified_identifier,unit-0d17c9f908fc,1,16,train
train,grp-9058572185f9,bag-9058572185f9,benign,train/benign/benign (101)-rotated1-rotated1.png,34374e4283077c30292aecac9f16ac77,benign (101),inferred_from_filename_not_verified_identifier,unit-20d7b0b32253,1,16,train
train,grp-9058572185f9,bag-9058572185f9,benign,train/benign/benign (101)-rotated1-rotated2.png,ef14e23e7dcb2b44745a41def0737cd0,benign (101),inferred_from_filename_not_verified_identifier,unit-20d7b0b32253,1,16,train
train,grp-9058572185f9,bag-9058572185f9,benign,train/benign/benign (101)-rotated1-sharpened.png,b44ca4c501ed2883cff39a9dbe7dcda6,benign (101),inferred_from_filename_not_verified_identifier,unit-20d7b0b32253,1,16,train
