bag_id,source_group_id,source_key_status,split,image_path,md5,processed_relpath,instance_order,attention,rank,predicted_probability,true_label,prediction_at_0.5,category,gate_mean,gate_max,gate_argmax,gate_vector_ref
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated1-rotated1.png,ef9979fd23ee07f2dfe795b5da9ca5dc,data/processed/val/train__malignant__malignant (106)-rotated1-rotated1.png.png,0,0.07620948553085327,8,0.4498362470130039,1,0,false_negative,0.5106958261458203,0.7726196646690369,48,gates[bag-01a4298f9ca8][0]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated1-rotated2.png,9c9570509f3ae1d8e70e8cad4c66a263,data/processed/val/train__malignant__malignant (106)-rotated1-rotated2.png.png,1,0.07932408899068832,2,0.4498362470130039,1,0,false_negative,0.5107332892948762,0.7753317952156067,48,gates[bag-01a4298f9ca8][1]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated1-rotated32.png,80aba917b8cae62683c47604d91d4832,data/processed/val/train__malignant__malignant (106)-rotated1-rotated32.png.png,2,0.07917185872793198,3,0.4498362470130039,1,0,false_negative,0.5107193922158331,0.7735596895217896,48,gates[bag-01a4298f9ca8][2]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated1-sharpened.png,432e77a1fb9fda8d76965320d6e1666e,data/processed/val/train__malignant__malignant (106)-rotated1-sharpened.png.png,3,0.002889893250539899,17,0.4498362470130039,1,0,false_negative,0.5054700339678675,0.5845974683761597,44,gates[bag-01a4298f9ca8][3]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated1.png,46e540162a267edd3e9bb443859c7d49,data/processed/val/train__malignant__malignant (106)-rotated1.png.png,4,0.0786995068192482,5,0.4498362470130039,1,0,false_negative,0.5106954361544922,0.7755630016326904,48,gates[bag-01a4298f9ca8][4]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated2-rotated1.png,3613cc34aedfd6bc853b13bfc5397dbf,data/processed/val/train__malignant__malignant (106)-rotated2-rotated1.png.png,5,0.07775605469942093,6,0.4498362470130039,1,0,false_negative,0.5106977449031547,0.7738138437271118,48,gates[bag-01a4298f9ca8][5]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated2-rotated2.png,718e82b6bfa03f3909b4cdd03eda97b4,data/processed/val/train__malignant__malignant (106)-rotated2-rotated2.png.png,6,0.0666951909661293,11,0.4498362470130039,1,0,false_negative,0.5105730399955064,0.7628836035728455,48,gates[bag-01a4298f9ca8][6]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated2-rotated32.png,dd57977aed04295acfe085ef01807929,data/processed/val/train__malignant__malignant (106)-rotated2-rotated32.png.png,7,0.09102215617895126,1,0.4498362470130039,1,0,false_negative,0.5107882816810161,0.7837357521057129,48,gates[bag-01a4298f9ca8][7]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated2-sharpened.png,7ed962dd0aa9efc0e556ccdcd853d950,data/processed/val/train__malignant__malignant (106)-rotated2-sharpened.png.png,8,0.002839318010956049,18,0.4498362470130039,1,0,false_negative,0.5054048497695476,0.583819568157196,44,gates[bag-01a4298f9ca8][8]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated2.png,9515edc2e4b9ad9eb93687d637f5c935,data/processed/val/train__malignant__malignant (106)-rotated2.png.png,9,0.06599362194538116,12,0.4498362470130039,1,0,false_negative,0.5104938554577529,0.7626939415931702,48,gates[bag-01a4298f9ca8][9]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated32-rotated1.png,a90fcbeec1396a34ace08930f7dca10c,data/processed/val/train__malignant__malignant (106)-rotated32-rotated1.png.png,10,0.07630100101232529,7,0.4498362470130039,1,0,false_negative,0.5106759993359447,0.7726219892501831,48,gates[bag-01a4298f9ca8][10]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated32-rotated2.png,112520e8095f85891b2cc0aa0caf1e8e,data/processed/val/train__malignant__malignant (106)-rotated32-rotated2.png.png,11,0.07886910438537598,4,0.4498362470130039,1,0,false_negative,0.5107294810004532,0.7737081050872803,48,gates[bag-01a4298f9ca8][11]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated32-rotated32.png,6f65fa9aae69cfe5cb7077e169db678f,data/processed/val/train__malignant__malignant (106)-rotated32-rotated32.png.png,12,0.07448780536651611,9,0.4498362470130039,1,0,false_negative,0.5106867676367983,0.770265519618988,48,gates[bag-01a4298f9ca8][12]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated32-sharpened.png,b00ab1a593c99fd8d5e45869ccb0c06a,data/processed/val/train__malignant__malignant (106)-rotated32-sharpened.png.png,13,0.0028284359723329544,19,0.4498362470130039,1,0,false_negative,0.5054010229650885,0.5837259888648987,44,gates[bag-01a4298f9ca8][13]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-rotated32.png,af3ff8d6c015df218ee9051a7705e4f5,data/processed/val/train__malignant__malignant (106)-rotated32.png.png,14,0.06847067922353745,10,0.4498362470130039,1,0,false_negative,0.5105338009307161,0.7647116780281067,48,gates[bag-01a4298f9ca8][14]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-sharpened-rotated1.png,b2c11bd9f44992a8749716709ec8d6a6,data/processed/val/train__malignant__malignant (106)-sharpened-rotated1.png.png,15,0.0038734960835427046,15,0.4498362470130039,1,0,false_negative,0.5060140106361359,0.5921026468276978,44,gates[bag-01a4298f9ca8][15]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-sharpened-rotated2.png,c4be89aa1cffc01bfcdd60b4779f0a73,data/processed/val/train__malignant__malignant (106)-sharpened-rotated2.png.png,16,0.003605152713134885,16,0.4498362470130039,1,0,false_negative,0.5058695294428617,0.5894718766212463,44,gates[bag-01a4298f9ca8][16]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-sharpened-rotated32.png,a670e16f01fececf09f1145692892f63,data/processed/val/train__malignant__malignant (106)-sharpened-rotated32.png.png,17,0.0050802081823349,14,0.4498362470130039,1,0,false_negative,0.506428760709241,0.5963879823684692,44,gates[bag-01a4298f9ca8][17]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-sharpened-sharpened.png,1d81dcc02d98eb7aad2416eeb10909a2,data/processed/val/train__malignant__malignant (106)-sharpened-sharpened.png.png,18,3.8128891901578754e-05,21,0.4498362470130039,1,0,false_negative,0.5034509901888669,0.6196154952049255,6,gates[bag-01a4298f9ca8][18]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106)-sharpened.png,ae64b98a566fe9d6941a4edbe7efb645,data/processed/val/train__malignant__malignant (106)-sharpened.png.png,19,0.0017441698582842946,20,0.4498362470130039,1,0,false_negative,0.5049220658838749,0.5766919255256653,44,gates[bag-01a4298f9ca8][19]
bag-01a4298f9ca8,grp-01a4298f9ca8,inferred_from_filename_not_verified_identifier,val,train/malignant/malignant (106).png,fc1acc377ee49a20ac4790931f7784f3,data/processed/val/train__malignant__malignant (106).png.png,20,0.06410054117441177,13,0.4498362470130039,1,0,false_negative,0.510472328402102,0.7608070969581604,48,gates[bag-01a4298f9ca8][20]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated1-rotated1.png,988f1b8cd4863c17affacd8f1dc250dd,data/processed/val/val__benign__benign (6)-rotated1-rotated1.png.png,0,0.11414677649736404,1,0.44775334796827554,0,0,correct_benign,0.5109805078245699,0.7858842015266418,48,gates[bag-01e91c2df96c][0]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated1-rotated2.png,4a2ea6d38962ea971067c406b8fcc558,data/processed/val/val__benign__benign (6)-rotated1-rotated2.png.png,1,0.10809915512800217,3,0.44775334796827554,0,0,correct_benign,0.5107843892183155,0.7792125344276428,48,gates[bag-01e91c2df96c][1]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated1-sharpened.png,32c97fb60060571457705ae05a06575d,data/processed/val/val__benign__benign (6)-rotated1-sharpened.png.png,2,0.01173784676939249,13,0.44775334796827554,0,0,correct_benign,0.5076929680071771,0.6166179776191711,48,gates[bag-01e91c2df96c][2]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated1.jpg,6988b6fea38616e5511962e721a81d14,data/processed/val/val__benign__benign (6)-rotated1.jpg.png,3,0.10681039839982986,5,0.44775334796827554,0,0,correct_benign,0.5109109346522018,0.7824251651763916,48,gates[bag-01e91c2df96c][3]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated1.png,b5153601c9d05cf3ccec3ddd96bf4f94,data/processed/val/val__benign__benign (6)-rotated1.png.png,4,0.09475725144147873,8,0.44775334796827554,0,0,correct_benign,0.5107486263150349,0.7726840972900391,48,gates[bag-01e91c2df96c][4]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated2-rotated1.png,2ae8ec91104bc5129f5d13c8c1cc0b3f,data/processed/val/val__benign__benign (6)-rotated2-rotated1.png.png,5,0.11376016587018967,2,0.44775334796827554,0,0,correct_benign,0.5108747374033555,0.7850641012191772,48,gates[bag-01e91c2df96c][5]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated2-rotated2.png,61cc5f01887d5e157d6d4945518183e8,data/processed/val/val__benign__benign (6)-rotated2-rotated2.png.png,6,0.10770611464977264,4,0.44775334796827554,0,0,correct_benign,0.5108126129489392,0.7806999683380127,48,gates[bag-01e91c2df96c][6]
bag-01e91c2df96c,grp-01e91c2df96c,inferred_from_filename_not_verified_identifier,val,val/benign/benign (6)-rotated2-sharpened.png,a306bd69a2518e174e704437e9e731dc,data/processed/val/val__benign__benign (6)-rotated2-sharpened.png.png,7,0.013133819214999676,12,0.44775334796827554,0,0,correct_benign,0.507851765723899,0.623417854309082,48,gates[bag-01e91c2df96c][7]
